Year,NDVI
2000,0.3939364702235393
2001,0.40645891624085206
2002,0.40691105312808296
2003,0.41050131195556316
2004,0.4116166930596543
2005,0.4247352147092445
2006,0.4123076885266922
2007,0.4171170378426728
2008,0.3946365176819612
2009,0.39676053818522344
2010,0.4081008451312506
2011,0.3981122766592132
2012,0.3992169109531135
2013,0.4175489587777564
2014,0.4223333343421498
2015,0.41776079646905284
2016,0.4310797403251694
2017,0.43112434153427653
2018,0.4397002323011345
2019,0.43901320153636303
2020,0.45771506291712577
2021,0.42930008374191636
2022,0.46382447554158657
2023,0.4610242722601879
