Year,NDVI
2000,0.11366378514194797
2001,0.11343400201338893
2002,0.11047715745491606
2003,0.11382262452912871
2004,0.11319808495184289
2005,0.11318900923267815
2006,0.11409596261026383
2007,0.11631699377291245
2008,0.11457359601190616
2009,0.11308013005464643
2010,0.11624645258572917
2011,0.11528583936566061
2012,0.11724649097733135
2013,0.11714175325534874
2014,0.11507068038552473
2015,0.11483230143529857
2016,0.11458317980804789
2017,0.1141194992849254
2018,0.11588912367851649
2019,0.11615527520158316
2020,0.12113722710372077
2021,0.11913794605201576
2022,0.12106159963189377
2023,0.11696827306346769
